verifyName,betweenness,closeness,follow,posts,interval,length,movie_posts,reposts,coapper_posts,boxoffice,fans,id
贡晓薇,20611,0.3583,281,1977,65987.92109,40.09003541,456,63,0,0,36,1833723400
唐冉昕,19774,0.368,174,181,589753.5912,45.47513812,63,1,0,0,36,1098438332
王琛,18251,0.3606,307,1024,149379.9609,44.14160156,231,25,0,0,36,1525865343
悟一文,19416,0.3624,151,242,583017.7686,55.44628099,59,1,0,0,36,1192080865
穆佳男,17844,0.366,173,99,1005980,33.37373737,28,3,0,0,36,1531520214
刘欣榕,28334,0.3717,303,601,245266.0233,80.00998336,293,57,0,0,36,1371319445
侯迪,26714,0.4056,419,282,449130.2128,44.54964539,88,10,0,0,36,1828142614
单家纬,29985,0.403,1018,1176,65179.59184,55.69982993,365,59,29443,4137.3174,36,1817780203
郭振宇,27246,0.3637,383,244,195751.9672,23.44262295,40,10,2,0,36,2268332577
王晓娟,17368,0.3518,124,2910,50384.78351,41.16116838,894,83,0,0,36,1735133243
王劲松,18753,0.3679,113,736,140369.1033,56.35326087,134,16,0,0,36,1454524640
曹向栋,21746,0.3748,285,398,350077.3869,43.95728643,93,5,0,0,36,1808625903
许一琦,16653,0.3137,17,0,0,0,0,0,1160,0,36,1256771871
徐亨,35385,0.4003,609,9584,13579.45743,58.9640025,367,853,0,0,36,1882758401
丁元皓,21747,0.3661,431,1126,137700.2131,49.37655417,340,47,0,0,36,1240413673
张杰,29290,0.3714,499,1636,66971.22249,35.1393643,459,26,0,0,36,2364012813
紫萱,24301,0.3844,433,884,117345.0679,51.49660633,432,71,0,0,36,2447635185
仲占杰,18408,0.3578,421,3701,43667.27371,79.75682248,1192,79,0,0,36,1461357680
罗莉,20484,0.3635,204,1013,137596.7621,53.73445212,306,73,0,0,36,1700551230
魏威,20409,0.3705,250,172,848148.1395,45.80232558,45,0,1,876.2667,36,1354427525
李星海,19214,0.3577,133,565,182583.5044,47.81769912,157,39,808,0,36,1866113070
